Origin,Raw Score,Rebased Score,Grade,Activity Category
Richmond upon Thames,29.5,7.048984468339308,F,Education
Bromley,33.5,8.004778972520908,F,Education
Kingston upon Thames,35.5,8.482676224611708,F,Education
Barnet,42.0,10.03584229390681,E,Education
Hillingdon,43.0,10.27479091995221,E,Education
Ealing,46.0,10.991636798088411,E,Education
Harrow,46.0,10.991636798088411,E,Education
Redbridge,52.0,12.425328554360812,E,Education
Croydon,53.0,12.664277180406213,E,Education
Havering,69.5,16.606929510155314,E,Education
Barking and Dagenham,70.0,16.726403823178014,E,Education
Bexley,70.0,16.726403823178014,E,Education
Sutton,74.5,17.801672640382318,E,Education
Greenwich,85.5,20.43010752688172,D,Education
Waltham Forest,87.5,20.908004778972522,D,Education
Enfield,87.5,20.908004778972522,D,Education
Merton,89.0,21.26642771804062,D,Education
Brent,90.0,21.50537634408602,D,Education
Wandsworth,91.5,21.863799283154123,D,Education
Lewisham,93.5,22.341696535244925,D,Education
Hounslow,97.0,23.178016726403825,D,Education
Newham,104.5,24.970131421744323,D,Education
Lambeth,121.0,28.912783751493432,D,Education
Tower Hamlets,149.5,35.722819593787335,D,Education
Southwark,151.0,36.081242532855434,D,Education
Hackney,173.0,41.33811230585424,C,Education
Haringey,191.5,45.758661887694146,C,Education
Hammersmith and Fulham,224.5,53.643966547192356,C,Education
Camden,272.0,64.99402628434886,B,Education
Kensington and Chelsea,286.0,68.33930704898447,B,Education
Islington,305.5,72.99880525686977,B,Education
Westminster,357.0,85.30465949820788,A,Education
City of London,418.5,100.0,A+,Education
